Date,Open,High,Low,Close,Adj Close,Volume
2017-07-10,1.010000,1.013000,1.008000,1.013000,1.013000,0
2017-07-11,1.033000,1.035000,1.033000,1.033000,1.033000,0
2017-07-12,1.030000,1.030000,1.023000,1.023000,1.023000,0
2017-07-13,1.023000,1.023000,1.013000,1.013000,1.013000,0
2017-07-14,1.013000,1.013000,1.008000,1.008000,1.008000,0
2017-07-17,1.005000,1.020000,1.005000,1.020000,1.020000,0
2017-07-18,1.038000,1.043000,1.038000,1.040000,1.040000,0
2017-07-19,1.040000,1.095000,1.040000,1.085000,1.085000,0
2017-07-20,1.095000,1.140000,1.093000,1.113000,1.113000,0
2017-07-21,1.120000,1.138000,1.120000,1.138000,1.138000,0
2017-07-24,1.140000,1.158000,1.138000,1.150000,1.150000,0
2017-07-25,1.170000,1.173000,1.135000,1.143000,1.143000,0
2017-07-26,1.140000,1.140000,1.095000,1.095000,1.095000,0
2017-07-27,1.090000,1.090000,1.075000,1.078000,1.078000,0
2017-07-28,1.078000,1.078000,1.050000,1.053000,1.053000,0
2017-07-31,1.050000,1.053000,1.035000,1.053000,1.053000,0
2017-08-01,1.058000,1.070000,1.055000,1.058000,1.058000,0
2017-08-02,1.060000,1.060000,1.048000,1.050000,1.050000,0
2017-08-03,1.045000,1.058000,1.045000,1.058000,1.058000,0
2017-08-04,1.055000,1.058000,1.053000,1.053000,1.053000,0
2017-08-07,1.053000,1.053000,1.020000,1.033000,1.033000,0
2017-08-08,1.020000,1.030000,1.020000,1.030000,1.030000,0
2017-08-09,1.025000,1.025000,1.025000,1.025000,1.025000,0
2017-08-10,1.025000,1.025000,1.018000,1.018000,1.018000,0
2017-08-11,1.013000,1.015000,1.010000,1.013000,1.013000,0
2017-08-14,1.015000,1.018000,1.003000,1.003000,1.003000,0
2017-08-15,1.003000,1.008000,1.003000,1.008000,1.008000,0
2017-08-16,1.005000,1.010000,0.985000,0.985000,0.985000,0
2017-08-17,0.985000,0.985000,0.973000,0.978000,0.978000,0
2017-08-18,0.975000,0.990000,0.973000,0.988000,0.988000,0
2017-08-21,0.985000,0.985000,0.965000,0.965000,0.965000,0
2017-08-22,0.995000,0.995000,0.993000,0.995000,0.995000,0
2017-08-23,0.993000,0.995000,0.980000,0.980000,0.980000,0
2017-08-24,0.983000,0.998000,0.983000,0.998000,0.998000,0
2017-08-25,0.993000,0.998000,0.993000,0.995000,0.995000,0
2017-08-28,0.995000,1.005000,0.990000,1.005000,1.005000,0
2017-08-29,1.013000,1.013000,1.005000,1.010000,1.010000,0
2017-08-30,1.010000,1.010000,0.995000,0.998000,0.998000,0
2017-08-31,0.983000,0.988000,0.970000,0.978000,0.978000,0
2017-09-01,0.980000,0.993000,0.973000,0.985000,0.985000,0
2017-09-05,0.980000,0.985000,0.970000,0.983000,0.983000,0
2017-09-06,1.018000,1.040000,1.015000,1.038000,1.038000,0
2017-09-07,1.028000,1.028000,1.018000,1.023000,1.023000,0
2017-09-08,1.018000,1.023000,1.018000,1.020000,1.020000,0
2017-09-11,1.020000,1.028000,1.018000,1.020000,1.020000,0
2017-09-12,1.023000,1.023000,1.018000,1.018000,1.018000,0
2017-09-13,1.020000,1.025000,1.013000,1.018000,1.018000,0
2017-09-14,1.018000,1.028000,1.018000,1.028000,1.028000,0
2017-09-15,1.025000,1.025000,1.010000,1.010000,1.010000,0
2017-09-18,1.013000,1.015000,1.000000,1.000000,1.000000,0
2017-09-19,1.028000,1.028000,1.018000,1.018000,1.018000,0
2017-09-20,1.015000,1.023000,1.010000,1.020000,1.020000,0
2017-09-21,1.005000,1.020000,1.005000,1.008000,1.008000,0
2017-09-22,1.005000,1.008000,1.000000,1.003000,1.003000,0
2017-09-25,1.000000,1.003000,0.998000,0.998000,0.998000,0
2017-09-26,1.040000,1.045000,1.040000,1.043000,1.043000,0
2017-09-27,1.043000,1.053000,1.038000,1.038000,1.038000,0
2017-09-28,1.033000,1.035000,1.030000,1.030000,1.030000,0
2017-09-29,1.028000,1.033000,1.025000,1.028000,1.028000,0
2017-10-02,1.033000,1.033000,1.013000,1.013000,1.013000,0
2017-10-03,1.035000,1.035000,1.035000,1.035000,1.035000,0
2017-10-04,1.040000,1.045000,1.040000,1.043000,1.043000,0
2017-10-05,1.043000,1.043000,1.040000,1.043000,1.043000,0
2017-10-06,1.048000,1.050000,1.043000,1.043000,1.043000,0
2017-10-09,1.045000,1.045000,1.045000,1.045000,1.045000,0
2017-10-10,1.048000,1.060000,1.048000,1.055000,1.055000,0
2017-10-11,1.075000,1.075000,1.068000,1.068000,1.068000,0
2017-10-12,1.063000,1.063000,1.053000,1.053000,1.053000,0
2017-10-13,1.053000,1.053000,1.050000,1.050000,1.050000,0
2017-10-16,1.050000,1.058000,1.050000,1.055000,1.055000,0
2017-10-17,1.080000,1.083000,1.073000,1.073000,1.073000,0
2017-10-18,1.075000,1.075000,1.068000,1.068000,1.068000,0
2017-10-19,1.058000,1.065000,1.058000,1.065000,1.065000,0
2017-10-20,1.065000,1.075000,1.065000,1.075000,1.075000,0
2017-10-23,1.080000,1.080000,1.070000,1.070000,1.070000,0
2017-10-24,1.098000,1.098000,1.098000,1.098000,1.098000,0
2017-10-25,1.095000,1.098000,1.080000,1.083000,1.083000,0
2017-10-26,1.080000,1.083000,1.075000,1.080000,1.080000,0
2017-10-27,1.075000,1.075000,1.073000,1.073000,1.073000,0
2017-10-30,1.073000,1.080000,1.073000,1.075000,1.075000,0
2017-10-31,1.120000,1.123000,1.118000,1.123000,1.123000,0
2017-11-01,1.123000,1.138000,1.123000,1.138000,1.138000,0
2017-11-02,1.133000,1.143000,1.133000,1.138000,1.138000,0
2017-11-03,1.135000,1.148000,1.135000,1.148000,1.148000,0
2017-11-06,1.158000,1.160000,1.153000,1.158000,1.158000,0
2017-11-07,1.185000,1.208000,1.185000,1.188000,1.188000,0
2017-11-08,1.188000,1.200000,1.188000,1.195000,1.195000,0
2017-11-09,1.205000,1.228000,1.203000,1.203000,1.203000,0
2017-11-10,1.205000,1.205000,1.200000,1.200000,1.200000,0
2017-11-13,1.200000,1.200000,1.180000,1.185000,1.185000,0
2017-11-14,1.228000,1.240000,1.228000,1.240000,1.240000,0
2017-11-15,1.233000,1.245000,1.230000,1.230000,1.230000,0
2017-11-16,1.223000,1.235000,1.223000,1.230000,1.230000,0
2017-11-17,1.230000,1.240000,1.230000,1.240000,1.240000,0
2017-11-20,1.240000,1.245000,1.235000,1.240000,1.240000,0
2017-11-21,1.283000,1.290000,1.275000,1.278000,1.278000,0
2017-11-22,1.275000,1.278000,1.255000,1.265000,1.265000,0
2017-11-24,1.263000,1.263000,1.235000,1.240000,1.240000,0
2017-11-27,1.243000,1.243000,1.223000,1.223000,1.223000,0
