Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,82.199997,82.199997,81.459999,81.709999,79.762627,591000
2016-07-15,81.720001,82.000000,81.290001,81.489998,79.547859,355000
2016-07-18,81.570000,81.680000,81.120003,81.169998,79.235481,184000
2016-07-19,80.900002,81.970001,80.389999,81.970001,80.016426,263000
2016-07-20,82.300003,82.989998,82.019997,82.559998,80.592361,313900
2016-07-21,82.290001,82.900002,82.029999,82.470001,80.504509,309800
2016-07-22,82.580002,83.000000,82.029999,82.930000,80.953545,205800
2016-07-25,82.769997,83.019997,82.489998,82.970001,80.992584,185500
2016-07-26,82.860001,83.639999,82.860001,83.559998,81.568535,282900
2016-07-27,83.800003,83.949997,82.940002,83.500000,81.509956,519100
2016-07-28,83.919998,85.330002,82.169998,84.849998,82.827789,645100
2016-07-29,84.910004,86.419998,83.889999,86.040001,83.989418,747100
2016-08-01,85.980003,86.589996,85.550003,86.000000,83.950378,471100
2016-08-02,86.059998,86.089996,84.400002,84.760002,82.739929,532200
2016-08-03,84.930000,85.059998,84.589996,84.980003,82.954689,317500
2016-08-04,85.169998,85.980003,85.059998,85.379997,83.345154,252700
2016-08-05,86.220001,86.980003,85.620003,86.820000,84.750832,396800
2016-08-08,86.709999,87.110001,85.980003,86.110001,84.057755,250100
2016-08-09,86.099998,86.550003,85.849998,86.220001,84.165138,299900
2016-08-10,86.290001,86.589996,85.790001,86.089996,84.038231,269400
2016-08-11,85.930000,86.239998,85.849998,86.129997,84.351624,212500
2016-08-12,85.860001,86.370003,85.599998,86.290001,84.508324,197600
2016-08-15,86.279999,87.510002,86.110001,87.500000,85.693336,473300
2016-08-16,87.220001,87.220001,85.900002,86.650002,84.860893,627700
2016-08-17,86.349998,87.180000,86.349998,87.000000,85.203667,449500
2016-08-18,87.070000,87.279999,86.680000,87.169998,85.370148,237700
2016-08-19,87.120003,87.459999,86.680000,87.320000,85.517052,279300
2016-08-22,87.040001,87.470001,86.779999,87.379997,85.575813,226300
2016-08-23,87.699997,87.980003,87.430000,87.650002,85.840240,314000
2016-08-24,87.570000,88.269997,87.389999,88.110001,86.290749,504800
2016-08-25,87.910004,88.769997,87.690002,88.660004,86.829384,310700
2016-08-26,88.860001,89.809998,88.529999,88.910004,87.074226,250200
2016-08-29,88.879997,89.910004,88.870003,89.779999,87.926270,307400
2016-08-30,89.910004,90.230003,89.599998,89.970001,88.112328,466400
2016-08-31,89.820000,90.389999,89.269997,90.120003,88.259239,585000
2016-09-01,90.309998,90.790001,88.970001,89.269997,87.426796,863000
2016-09-02,89.669998,89.970001,88.949997,89.550003,87.701019,925200
2016-09-06,90.029999,90.190002,87.639999,88.599998,86.770622,1351700
2016-09-07,88.339996,89.059998,87.989998,89.059998,87.221123,731700
2016-09-08,88.620003,88.820000,86.949997,87.250000,85.448494,814000
2016-09-09,86.529999,86.739998,84.699997,84.730003,82.980537,715900
2016-09-12,84.290001,86.080002,84.010002,85.959999,84.185135,665400
2016-09-13,85.519997,86.099998,84.389999,84.870003,83.117638,891800
2016-09-14,85.139999,85.639999,84.550003,84.699997,82.951141,606300
2016-09-15,84.919998,86.029999,84.750000,85.860001,84.087196,442300
2016-09-16,85.970001,85.970001,84.980003,85.360001,83.597527,1529700
2016-09-19,85.360001,86.220001,84.650002,85.239998,83.479996,431000
2016-09-20,85.930000,85.930000,85.199997,85.660004,83.891327,524400
2016-09-21,86.160004,86.750000,85.550003,86.739998,84.949020,490500
2016-09-22,87.430000,87.540001,86.239998,86.769997,84.978401,525100
2016-09-23,86.720001,86.980003,86.330002,86.400002,84.616051,413300
2016-09-26,85.940002,86.529999,85.400002,85.480003,83.715050,568500
2016-09-27,85.279999,85.750000,84.930000,85.309998,83.548546,588400
2016-09-28,85.339996,85.580002,84.089996,84.900002,83.147026,563600
2016-09-29,84.830002,85.010002,83.330002,83.519997,81.795509,343700
2016-09-30,83.989998,84.279999,83.540001,83.940002,82.206841,499000
2016-10-03,83.769997,84.129997,83.199997,83.510002,81.785713,422000
2016-10-04,83.949997,84.040001,82.739998,83.019997,81.305840,459800
2016-10-05,83.129997,84.000000,83.089996,83.209999,81.491913,470000
2016-10-06,83.320000,83.320000,81.900002,83.120003,81.403786,599000
2016-10-07,83.290001,83.370003,82.290001,82.660004,80.953278,551700
2016-10-10,83.290001,83.690002,82.849998,82.970001,81.256859,356600
2016-10-11,80.839996,81.500000,78.629997,80.099998,78.446121,1894600
2016-10-12,79.879997,82.269997,79.879997,81.919998,80.228554,941500
2016-10-13,81.230003,82.150002,81.000000,81.959999,80.267731,1261100
2016-10-14,82.559998,83.349998,82.510002,82.910004,81.198120,664300
2016-10-17,82.790001,83.269997,82.739998,82.919998,81.207909,428000
2016-10-18,83.650002,83.760002,82.839996,83.000000,81.286255,302800
2016-10-19,82.949997,83.050003,82.550003,82.930000,81.217705,303200
2016-10-20,82.809998,83.419998,82.400002,82.430000,80.728020,274900
2016-10-21,81.919998,82.980003,81.209999,82.900002,81.188316,263400
2016-10-24,83.879997,83.879997,83.099998,83.220001,81.501709,224900
2016-10-25,83.339996,83.570000,82.800003,83.190002,81.472336,267800
2016-10-26,82.680000,83.540001,82.680000,82.930000,81.217705,521000
2016-10-27,84.220001,84.220001,79.449997,79.599998,77.956451,1003900
2016-10-28,79.730003,79.860001,78.879997,78.949997,77.319870,647300
2016-10-31,79.540001,80.480003,79.400002,80.190002,78.534279,914200
2016-11-01,80.570000,80.610001,78.919998,79.180000,77.545128,524500
2016-11-02,79.040001,79.739998,78.769997,78.820000,77.192551,542800
2016-11-03,79.089996,79.889999,78.959999,79.080002,77.447189,561200
2016-11-04,79.180000,80.480003,79.180000,79.370003,77.731209,544700
2016-11-07,80.500000,81.150002,79.930000,80.860001,79.190430,542200
2016-11-08,80.709999,81.959999,80.279999,81.080002,79.405899,452600
2016-11-09,80.000000,81.940002,79.209999,81.790001,80.378815,645900
2016-11-10,82.209999,82.919998,80.879997,81.169998,79.769508,483100
2016-11-11,80.989998,81.690002,79.940002,80.000000,78.619690,661400
2016-11-14,80.589996,80.760002,77.459999,77.559998,76.221794,836300
2016-11-15,77.050003,78.300003,76.639999,77.510002,76.172661,824800
2016-11-16,77.370003,78.980003,77.260002,77.930000,76.585411,631700
2016-11-17,78.440002,79.669998,77.720001,79.500000,78.128319,556800
2016-11-18,79.580002,79.949997,79.370003,79.690002,78.315048,557500
2016-11-21,80.239998,80.690002,80.010002,80.410004,79.022621,480300
2016-11-22,80.610001,80.800003,79.750000,80.010002,78.629532,370800
2016-11-23,79.790001,80.209999,79.290001,80.190002,78.806419,363800
2016-11-25,80.269997,81.000000,80.250000,80.779999,79.386238,196700
2016-11-28,80.349998,80.930000,80.190002,80.279999,78.894859,342300
2016-11-29,80.589996,81.190002,80.500000,80.629997,79.238823,396300
2016-11-30,81.070000,81.070000,78.760002,78.800003,77.440407,982300
2016-12-01,78.750000,79.260002,76.519997,77.139999,75.809036,1012700
2016-12-02,77.459999,79.360001,77.379997,79.330002,77.961250,593800
2016-12-05,79.809998,80.949997,79.809998,80.750000,79.356750,496300
2016-12-06,80.820000,81.000000,78.800003,79.489998,78.118492,887600
2016-12-07,79.860001,80.870003,78.730003,80.760002,79.366592,541600
2016-12-08,80.650002,81.010002,79.889999,80.699997,79.307617,584100
2016-12-09,80.849998,81.760002,80.779999,81.459999,80.054497,375800
2016-12-12,81.250000,81.320000,80.239998,80.480003,79.091415,645900
2016-12-13,81.019997,81.830002,80.849998,81.040001,79.641762,794100
2016-12-14,81.129997,81.790001,79.419998,79.849998,78.472282,604700
2016-12-15,79.809998,81.269997,79.779999,80.540001,79.150383,637700
2016-12-16,80.809998,80.879997,79.860001,79.900002,78.521423,1103000
2016-12-19,79.779999,80.860001,79.779999,80.250000,78.865372,433900
2016-12-20,80.139999,80.889999,79.930000,80.739998,79.346924,866900
2016-12-21,80.639999,80.839996,79.599998,79.660004,78.285568,474900
2016-12-22,79.540001,79.769997,77.750000,78.489998,77.135742,748400
2016-12-23,78.750000,78.870003,78.209999,78.589996,77.234016,468800
2016-12-27,78.800003,79.330002,78.550003,78.849998,77.489540,456100
2016-12-28,78.870003,79.040001,78.139999,78.360001,77.007988,389600
